policy,case_id,kind,split,condition,task_index,layout,endpoint,steps
native,Px_00_22_normal,P,train,normal,13,Px_00_22,True,75
best,Px_00_22_normal,P,train,normal,13,Px_00_22,True,80
stage2_best,Px_00_22_normal,P,train,normal,13,Px_00_22,True,85
native,Px_00_22_minus_y,P,train,minus_y,13,Px_00_22,True,70
best,Px_00_22_minus_y,P,train,minus_y,13,Px_00_22,True,75
stage2_best,Px_00_22_minus_y,P,train,minus_y,13,Px_00_22,False,300
native,Px_00_22_plus_y,P,train,plus_y,13,Px_00_22,True,80
best,Px_00_22_plus_y,P,train,plus_y,13,Px_00_22,True,90
stage2_best,Px_00_22_plus_y,P,train,plus_y,13,Px_00_22,True,80
native,Px_00_26_normal,P,train,normal,13,Px_00_26,True,80
best,Px_00_26_normal,P,train,normal,13,Px_00_26,True,95
stage2_best,Px_00_26_normal,P,train,normal,13,Px_00_26,True,95
native,Px_00_26_minus_y,P,train,minus_y,13,Px_00_26,True,75
best,Px_00_26_minus_y,P,train,minus_y,13,Px_00_26,True,85
stage2_best,Px_00_26_minus_y,P,train,minus_y,13,Px_00_26,True,90
native,Px_00_26_plus_y,P,train,plus_y,13,Px_00_26,True,115
best,Px_00_26_plus_y,P,train,plus_y,13,Px_00_26,True,90
stage2_best,Px_00_26_plus_y,P,train,plus_y,13,Px_00_26,True,100
native,Px_00_34_normal,P,train,normal,13,Px_00_34,True,75
best,Px_00_34_normal,P,train,normal,13,Px_00_34,True,75
stage2_best,Px_00_34_normal,P,train,normal,13,Px_00_34,True,75
native,Px_00_34_minus_y,P,train,minus_y,13,Px_00_34,True,75
best,Px_00_34_minus_y,P,train,minus_y,13,Px_00_34,True,85
stage2_best,Px_00_34_minus_y,P,train,minus_y,13,Px_00_34,True,90
native,Px_00_34_plus_y,P,train,plus_y,13,Px_00_34,True,75
best,Px_00_34_plus_y,P,train,plus_y,13,Px_00_34,True,80
stage2_best,Px_00_34_plus_y,P,train,plus_y,13,Px_00_34,True,80
native,Px_00_44_normal,P,train,normal,13,Px_00_44,True,70
best,Px_00_44_normal,P,train,normal,13,Px_00_44,True,80
stage2_best,Px_00_44_normal,P,train,normal,13,Px_00_44,True,80
native,Px_00_44_minus_y,P,train,minus_y,13,Px_00_44,True,75
best,Px_00_44_minus_y,P,train,minus_y,13,Px_00_44,True,80
stage2_best,Px_00_44_minus_y,P,train,minus_y,13,Px_00_44,True,80
native,Px_00_44_plus_y,P,train,plus_y,13,Px_00_44,True,80
best,Px_00_44_plus_y,P,train,plus_y,13,Px_00_44,True,90
stage2_best,Px_00_44_plus_y,P,train,plus_y,13,Px_00_44,True,85
native,Px_05_22_normal,P,test,normal,9,Px_05_22,False,500
best,Px_05_22_normal,P,test,normal,9,Px_05_22,True,215
stage2_best,Px_05_22_normal,P,test,normal,9,Px_05_22,True,185
native,Px_05_22_minus_y,P,test,minus_y,9,Px_05_22,True,165
best,Px_05_22_minus_y,P,test,minus_y,9,Px_05_22,True,180
stage2_best,Px_05_22_minus_y,P,test,minus_y,9,Px_05_22,True,210
native,Px_05_22_plus_y,P,test,plus_y,9,Px_05_22,True,195
best,Px_05_22_plus_y,P,test,plus_y,9,Px_05_22,True,195
stage2_best,Px_05_22_plus_y,P,test,plus_y,9,Px_05_22,True,185
native,Px_05_26_normal,P,test,normal,9,Px_05_26,True,215
best,Px_05_26_normal,P,test,normal,9,Px_05_26,True,155
stage2_best,Px_05_26_normal,P,test,normal,9,Px_05_26,True,160
native,Px_05_26_minus_y,P,test,minus_y,9,Px_05_26,True,145
best,Px_05_26_minus_y,P,test,minus_y,9,Px_05_26,True,185
stage2_best,Px_05_26_minus_y,P,test,minus_y,9,Px_05_26,True,210
native,Px_05_26_plus_y,P,test,plus_y,9,Px_05_26,True,165
best,Px_05_26_plus_y,P,test,plus_y,9,Px_05_26,True,185
stage2_best,Px_05_26_plus_y,P,test,plus_y,9,Px_05_26,False,500
native,Px_05_34_normal,P,test,normal,9,Px_05_34,True,160
best,Px_05_34_normal,P,test,normal,9,Px_05_34,True,180
stage2_best,Px_05_34_normal,P,test,normal,9,Px_05_34,True,165
native,Px_05_34_minus_y,P,test,minus_y,9,Px_05_34,True,150
best,Px_05_34_minus_y,P,test,minus_y,9,Px_05_34,True,170
stage2_best,Px_05_34_minus_y,P,test,minus_y,9,Px_05_34,True,165
native,Px_05_34_plus_y,P,test,plus_y,9,Px_05_34,True,170
best,Px_05_34_plus_y,P,test,plus_y,9,Px_05_34,True,180
stage2_best,Px_05_34_plus_y,P,test,plus_y,9,Px_05_34,True,180
native,Px_05_44_normal,P,test,normal,9,Px_05_44,True,190
best,Px_05_44_normal,P,test,normal,9,Px_05_44,True,165
stage2_best,Px_05_44_normal,P,test,normal,9,Px_05_44,True,150
native,Px_05_44_minus_y,P,test,minus_y,9,Px_05_44,True,165
best,Px_05_44_minus_y,P,test,minus_y,9,Px_05_44,True,170
stage2_best,Px_05_44_minus_y,P,test,minus_y,9,Px_05_44,True,160
native,Px_05_44_plus_y,P,test,plus_y,9,Px_05_44,True,165
best,Px_05_44_plus_y,P,test,plus_y,9,Px_05_44,True,175
stage2_best,Px_05_44_plus_y,P,test,plus_y,9,Px_05_44,True,175
native,Px_01_22_normal,P,train,normal,17,Px_01_22,True,160
best,Px_01_22_normal,P,train,normal,17,Px_01_22,True,120
stage2_best,Px_01_22_normal,P,train,normal,17,Px_01_22,True,120
