kind,task_index,source,our_training_split,target_object,condition,policy,correct_or_successful,episodes,scope_complete
S,5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,,lighting,best,4,4,True
S,5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,,lighting,native,3,4,True
S,5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,,normal,best,4,4,True
S,5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,,normal,native,3,4,True
S,6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,,camera,best,4,4,True
S,6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,,camera,native,4,4,True
S,6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,,combined,best,3,4,True
S,6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,,combined,native,3,4,True
S,6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,,lighting,best,4,4,True
S,6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,,lighting,native,4,4,True
S,6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,,normal,best,4,4,True
S,6,libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo,validation,,normal,native,4,4,True
S,7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,,camera,best,3,4,True
S,7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,,camera,native,1,4,True
S,7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,,combined,best,2,4,True
S,7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,,combined,native,1,4,True
S,7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,,lighting,best,4,4,True
S,7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,,lighting,native,4,4,True
S,7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,,normal,best,3,4,True
S,7,libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo,train,,normal,native,4,4,True
S,8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,,camera,best,2,4,True
S,8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,,camera,native,1,4,True
S,8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,,combined,best,3,4,True
S,8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,,combined,native,2,4,True
S,8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,,lighting,best,4,4,True
S,8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,,lighting,native,3,4,True
S,8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,,normal,best,4,4,True
S,8,libero_10/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo,train,,normal,native,3,4,True
S,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,,camera,best,4,4,True
S,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,,camera,native,4,4,True
S,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,,combined,best,4,4,True
S,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,,combined,native,4,4,True
S,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,,lighting,best,4,4,True
S,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,,lighting,native,3,4,True
S,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,,normal,best,4,4,True
S,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,,normal,native,3,4,True
S,10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,,camera,best,3,4,True
S,10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,,camera,native,2,4,True
S,10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,,combined,best,3,4,True
S,10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,,combined,native,2,4,True
S,10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,,lighting,best,3,4,True
S,10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,,lighting,native,4,4,True
S,10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,,normal,best,3,4,True
S,10,libero_goal/open_the_middle_drawer_of_the_cabinet_demo,train,,normal,native,4,4,True
S,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,,camera,best,2,4,True
S,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,,camera,native,2,4,True
S,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,,combined,best,2,4,True
S,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,,combined,native,2,4,True
S,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,,lighting,best,4,4,True
S,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,,lighting,native,4,4,True
S,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,,normal,best,3,4,True
S,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo,train,,normal,native,4,4,True
S,12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,,camera,best,3,4,True
S,12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,,camera,native,3,4,True
S,12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,,combined,best,2,4,True
S,12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,,combined,native,3,4,True
S,12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,,lighting,best,4,4,True
S,12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,,lighting,native,3,4,True
S,12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,,normal,best,4,4,True
S,12,libero_goal/push_the_plate_to_the_front_of_the_stove_demo,train,,normal,native,4,4,True
S,13,libero_goal/put_the_bowl_on_the_plate_demo,train,,camera,best,4,4,True
S,13,libero_goal/put_the_bowl_on_the_plate_demo,train,,camera,native,4,4,True
S,13,libero_goal/put_the_bowl_on_the_plate_demo,train,,combined,best,4,4,True
S,13,libero_goal/put_the_bowl_on_the_plate_demo,train,,combined,native,4,4,True
S,13,libero_goal/put_the_bowl_on_the_plate_demo,train,,lighting,best,4,4,True
S,13,libero_goal/put_the_bowl_on_the_plate_demo,train,,lighting,native,4,4,True
S,13,libero_goal/put_the_bowl_on_the_plate_demo,train,,normal,best,4,4,True
S,13,libero_goal/put_the_bowl_on_the_plate_demo,train,,normal,native,4,4,True
S,14,libero_goal/put_the_bowl_on_the_stove_demo,train,,camera,best,4,4,True
S,14,libero_goal/put_the_bowl_on_the_stove_demo,train,,camera,native,4,4,True
S,14,libero_goal/put_the_bowl_on_the_stove_demo,train,,combined,best,4,4,True
S,14,libero_goal/put_the_bowl_on_the_stove_demo,train,,combined,native,4,4,True
S,14,libero_goal/put_the_bowl_on_the_stove_demo,train,,lighting,best,4,4,True
S,14,libero_goal/put_the_bowl_on_the_stove_demo,train,,lighting,native,4,4,True
S,14,libero_goal/put_the_bowl_on_the_stove_demo,train,,normal,best,4,4,True
S,14,libero_goal/put_the_bowl_on_the_stove_demo,train,,normal,native,4,4,True
S,15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,,camera,best,4,4,True
S,15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,,camera,native,4,4,True
S,15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,,combined,best,4,4,True
S,15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,,combined,native,4,4,True
S,15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,,lighting,best,4,4,True
S,15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,,lighting,native,4,4,True
S,15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,,normal,best,4,4,True
S,15,libero_goal/put_the_bowl_on_top_of_the_cabinet_demo,train,,normal,native,4,4,True
S,16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,,camera,best,3,4,True
S,16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,,camera,native,3,4,True
S,16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,,combined,best,3,4,True
S,16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,,combined,native,3,4,True
S,16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,,lighting,best,4,4,True
S,16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,,lighting,native,4,4,True
S,16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,,normal,best,4,4,True
S,16,libero_goal/put_the_cream_cheese_in_the_bowl_demo,train,,normal,native,4,4,True
S,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,,camera,best,3,4,True
S,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,,camera,native,3,4,True
S,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,,combined,best,3,4,True
S,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,,combined,native,3,4,True
S,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,,lighting,best,4,4,True
S,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,,lighting,native,4,4,True
S,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,,normal,best,4,4,True
S,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,,normal,native,4,4,True
S,18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,,camera,best,4,4,True
S,18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,,camera,native,4,4,True
