kind,case_id,layout,task_index,our_training_split,target_object,condition,policy,correct_or_successful,control_steps,wall_seconds,axis_displacement_m,target_index,manual_seed
P,Px_00_34_minus_y,Px_00_34,13,train,akita_black_bowl_1,minus_y,native,True,75,15.092329528182745,,,16251
P,Px_00_34_minus_y,Px_00_34,13,train,akita_black_bowl_1,minus_y,best,True,85,19.105052640661597,,,16251
P,Px_00_34_plus_y,Px_00_34,13,train,akita_black_bowl_1,plus_y,native,True,75,15.11450769007206,,,16251
P,Px_00_34_plus_y,Px_00_34,13,train,akita_black_bowl_1,plus_y,best,True,80,18.56509178876877,,,16251
P,Px_00_44_normal,Px_00_44,13,train,akita_black_bowl_1,normal,native,True,70,14.522948628291488,,,16261
P,Px_00_44_normal,Px_00_44,13,train,akita_black_bowl_1,normal,best,True,80,18.135224871337414,,,16261
P,Px_00_44_minus_y,Px_00_44,13,train,akita_black_bowl_1,minus_y,native,True,75,15.043608623556793,,,16261
P,Px_00_44_minus_y,Px_00_44,13,train,akita_black_bowl_1,minus_y,best,True,80,18.23758316785097,,,16261
P,Px_00_44_plus_y,Px_00_44,13,train,akita_black_bowl_1,plus_y,native,True,80,15.760479649528861,,,16261
P,Px_00_44_plus_y,Px_00_44,13,train,akita_black_bowl_1,plus_y,best,True,90,19.720819659531116,,,16261
P,Px_05_22_normal,Px_05_22,9,test,black_book_1,normal,native,False,500,57.378493948839605,,,12239
P,Px_05_22_normal,Px_05_22,9,test,black_book_1,normal,best,True,215,36.43154123984277,,,12239
P,Px_05_22_minus_y,Px_05_22,9,test,black_book_1,minus_y,native,True,165,23.605447378009558,,,12239
P,Px_05_22_minus_y,Px_05_22,9,test,black_book_1,minus_y,best,True,180,31.35162270721048,,,12239
P,Px_05_22_plus_y,Px_05_22,9,test,black_book_1,plus_y,native,True,195,26.814014523290098,,,12239
P,Px_05_22_plus_y,Px_05_22,9,test,black_book_1,plus_y,best,True,195,33.43718380201608,,,12239
P,Px_05_26_normal,Px_05_26,9,test,black_book_1,normal,native,True,215,28.822739167138934,,,12243
