policy,case_id,task_index,source,our_training_split,condition,episode,manual_seed,success,control_steps,max_steps,penalized_horizon_fraction,wall_seconds,peak_allocated_gib
best,S_03_30_combined,3,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,validation,combined,demo_30,4247,True,260,500,0.52,47.23516258317977,12.534913539886475
best,S_03_40_normal,3,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,validation,normal,demo_40,4257,True,350,500,0.7,59.69193722680211,12.534913539886475
best,S_03_40_camera,3,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,validation,camera,demo_40,4257,True,250,500,0.5,45.61974595300853,12.534913539886475
best,S_03_40_lighting,3,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,validation,lighting,demo_40,4257,False,500,500,1.0,82.26003853324801,12.534913539886475
best,S_03_40_combined,3,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,validation,combined,demo_40,4257,True,270,500,0.54,48.72271290514618,12.534913539886475
best,S_04_30_normal,4,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,validation,normal,demo_30,5247,True,240,500,0.48,43.86935365572572,12.534913539886475
best,S_04_30_camera,4,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,validation,camera,demo_30,5247,True,280,500,0.56,50.09266082942486,12.534913539886475
best,S_04_30_lighting,4,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,validation,lighting,demo_30,5247,True,245,500,0.49,44.86035121139139,12.534913539886475
best,S_04_30_combined,4,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,validation,combined,demo_30,5247,True,280,500,0.56,49.9628363950178,12.534913539886475
best,S_04_40_normal,4,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,validation,normal,demo_40,5257,True,245,500,0.49,44.73288645595312,12.534913539886475
