model_kind,effect_weight,steps,manual_seed,training_cases,blind,parameters,seconds,peak_allocated_bytes,source_report,split,family,episodes,loss,copy_gain,action_variance_explained
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_10,28,0.11098697129637003,0.15368685199169063,0.12586499070162338
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_12,28,0.08529040443577937,0.16573129477098092,0.13620996146124498
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_16,28,0.06649566827608007,0.16977201164363753,0.15069832181126475
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_19,27,0.06245873068217878,0.16298613572509335,0.1549386976973116
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_20,27,0.14589702103424956,0.12953855247372625,0.086116124633277
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_01,4,0.10404128022491932,0.0879983895847185,0.05058263361822379
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_02,4,0.18316946178674698,0.09442425093203388,0.017419608039023426
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_03,4,0.26979205198585987,0.04457325646168797,0.0018166697050866487
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_09,4,0.10725121013820171,0.10569014585018022,0.060150778281855
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_10,4,0.12966576218605042,0.12262654902492753,0.1028902790759364
