model_kind,effect_weight,steps,manual_seed,training_cases,blind,parameters,seconds,peak_allocated_bytes,source_report,split,loss,swapped_loss,copy_loss,action_mse,target_action_mse,action_variance_explained,copy_relative_gain
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,0.1308009899738762,0.14564158467368948,0.14534188672486278,0.12916019103593296,0.14018034914301503,0.0786141436688752,0.10004615378712534
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,0.10304065507650376,0.12304262909293175,0.12225065898895264,0.11698372001945972,0.1348022806495428,0.13218293150697902,0.15713619927549694
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,development,0.08111136282483737,0.08111136282483737,0.08549970590199034,0.13571496059497198,0.1357149596636494,-6.862342694091694e-09,0.051325826572823474
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,0.13618693935374418,0.13618693935374418,0.14534188672486278,0.14018034955693615,0.14018034914301503,-2.9527755796010524e-09,0.0629890500076501
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,0.11185996785759926,0.11185996785759926,0.12225065898895264,0.13480228106677533,0.1348022806495428,-3.0951443630300446e-09,0.08499497031171299
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,development,0.0742170048567156,0.09138565277680755,0.08549970590199034,0.12149214061597984,0.1357149596636494,0.10479919887180345,0.13196186964909884
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,0.13103195621321598,0.14583171179725063,0.14534188672486278,0.1294580124732521,0.14018034914301503,0.07648958456241095,0.09845703006963158
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,0.10289844574034214,0.12389749066531658,0.12225065898895264,0.11715562725067138,0.1348022806495428,0.1309076768867803,0.15829945955840852
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,development,0.08139035354057948,0.08139035354057948,0.08549970590199034,0.13571496028453112,0.1357149596636494,-4.574895129394463e-09,0.04806276604180926
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,0.13640438579022884,0.13640438579022884,0.14534188672486278,0.14018035017781788,0.14018034914301503,-7.381939504114143e-09,0.06149294698198693
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,0.11190098023414612,0.11190098023414612,0.12225065898895264,0.13480228109657763,0.1348022806495428,-3.316225960503516e-09,0.08465949255735128
